asset_id,timestamp,wind_speed_m_s,power_normalized,temperature_c
demo-line,2026-01-30T00:00:00Z,4.0,0.037037,5.0
demo-line,2026-01-30T01:00:00Z,4.5,0.052734,5.0
demo-line,2026-01-30T02:00:00Z,5.0,0.072338,5.0
demo-line,2026-01-30T03:00:00Z,5.5,0.096282,5.0
demo-line,2026-01-30T04:00:00Z,6.0,0.125000,5.0
demo-line,2026-01-30T05:00:00Z,6.5,0.158927,5.0
demo-line,2026-01-30T06:00:00Z,7.0,0.198495,5.0
demo-line,2026-01-30T07:00:00Z,7.5,0.244141,5.0
demo-line,2026-01-30T08:00:00Z,8.0,0.296296,5.0
demo-line,2026-01-30T09:00:00Z,8.5,0.355396,5.0
demo-line,2026-01-30T10:00:00Z,9.0,0.421875,5.0
demo-line,2026-01-30T11:00:00Z,9.5,0.496166,5.0
demo-line,2026-01-30T12:00:00Z,4.0,0.037037,5.0
demo-line,2026-01-30T13:00:00Z,4.5,0.052734,5.0
demo-line,2026-01-30T14:00:00Z,5.0,0.072338,5.0
demo-line,2026-01-30T15:00:00Z,5.5,0.096282,5.0
demo-line,2026-01-30T16:00:00Z,6.0,0.125000,5.0
demo-line,2026-01-30T17:00:00Z,6.5,0.158927,5.0
demo-line,2026-01-30T18:00:00Z,7.0,0.198495,5.0
demo-line,2026-01-30T19:00:00Z,7.5,0.244141,5.0
demo-line,2026-01-30T20:00:00Z,8.0,0.296296,5.0
demo-line,2026-01-30T21:00:00Z,8.5,0.355396,5.0
demo-line,2026-01-30T22:00:00Z,9.0,0.421875,5.0
demo-line,2026-01-30T23:00:00Z,9.5,0.496166,5.0
demo-line,2026-01-31T00:00:00Z,4.0,0.037037,5.0
demo-line,2026-01-31T01:00:00Z,4.5,0.052734,5.0
demo-line,2026-01-31T02:00:00Z,5.0,0.072338,5.0
demo-line,2026-01-31T03:00:00Z,5.5,0.096282,5.0
demo-line,2026-01-31T04:00:00Z,6.0,0.125000,5.0
demo-line,2026-01-31T05:00:00Z,6.5,0.158927,5.0
demo-line,2026-01-31T06:00:00Z,7.0,0.198495,5.0
demo-line,2026-01-31T07:00:00Z,7.5,0.244141,5.0
demo-line,2026-01-31T08:00:00Z,8.0,0.296296,5.0
demo-line,2026-01-31T09:00:00Z,8.5,0.355396,5.0
demo-line,2026-01-31T10:00:00Z,9.0,0.421875,5.0
demo-line,2026-01-31T11:00:00Z,9.5,0.496166,5.0
demo-line,2026-01-31T12:00:00Z,4.0,0.037037,5.0
demo-line,2026-01-31T13:00:00Z,4.5,0.052734,5.0
demo-line,2026-01-31T14:00:00Z,5.0,0.072338,5.0
demo-line,2026-01-31T15:00:00Z,5.5,0.096282,5.0
demo-line,2026-01-31T16:00:00Z,6.0,0.125000,5.0
demo-line,2026-01-31T17:00:00Z,6.5,0.158927,5.0
demo-line,2026-01-31T18:00:00Z,7.0,0.198495,5.0
demo-line,2026-01-31T19:00:00Z,7.5,0.244141,5.0
demo-line,2026-01-31T20:00:00Z,8.0,0.296296,5.0
demo-line,2026-01-31T21:00:00Z,8.5,0.355396,5.0
demo-line,2026-01-31T22:00:00Z,9.0,0.421875,5.0
demo-line,2026-01-31T23:00:00Z,9.5,0.496166,5.0
